Date MM/DD/YYYY,Station,mean
2018-01-31,2.0,1.4700000000000002
2018-02-28,2.0,2.844444444444444
2018-03-31,2.0,4.9363636363636365
2018-04-30,2.0,2.4888888888888885
2018-05-31,2.0,4.29
2018-06-30,2.0,3.72
2018-07-31,2.0,3.2499999999999996
2018-08-31,2.0,3.1444444444444444
2018-09-30,2.0,2.3
2018-10-31,2.0,2.579999999999999
2018-11-30,2.0,
2018-12-31,2.0,1.19
2018-01-31,3.0,1.4000000000000001
2018-02-28,3.0,3.376923076923077
2018-03-31,3.0,4.557142857142858
2018-04-30,3.0,2.176923076923077
2018-05-31,3.0,4.716666666666666
2018-06-30,3.0,3.3769230769230774
2018-07-31,3.0,3.25
2018-08-31,3.0,3.2249999999999996
2018-09-30,3.0,2.607692307692308
2018-10-31,3.0,2.161538461538462
2018-11-30,3.0,
2018-12-31,3.0,1.2846153846153845
2018-01-31,4.0,1.5000000000000002
2018-02-28,4.0,3.6529411764705895
2018-03-31,4.0,3.5764705882352947
2018-04-30,4.0,2.3999999999999995
2018-05-31,4.0,4.776470588235294
2018-06-30,4.0,4.188235294117647
2018-07-31,4.0,2.81875
2018-08-31,4.0,3.3176470588235296
2018-09-30,4.0,3.0352941176470587
2018-10-31,4.0,2.5749999999999993
2018-11-30,4.0,
2018-12-31,4.0,1.577777777777778
2018-01-31,5.0,1.3818181818181818
2018-02-28,5.0,3.35
2018-03-31,5.0,3.5833333333333326
2018-04-30,5.0,2.2636363636363637
2018-05-31,5.0,4.8545454545454545
2018-06-30,5.0,3.25
2018-07-31,5.0,2.7818181818181817
2018-08-31,5.0,3.4555555555555553
2018-09-30,5.0,2.7199999999999998
2018-10-31,5.0,2.4454545454545453
2018-11-30,5.0,
2018-12-31,5.0,1.866666666666667
2018-01-31,6.0,2.081818181818182
2018-02-28,6.0,3.000000000000001
2018-03-31,6.0,4.066666666666666
2018-04-30,6.0,2.3999999999999995
2018-05-31,6.0,8.85
2018-06-30,6.0,2.7545454545454544
2018-07-31,6.0,2.9090909090909087
2018-08-31,6.0,3.0000000000000004
2018-09-30,6.0,2.9272727272727277
2018-10-31,6.0,2.5999999999999996
2018-11-30,6.0,
2018-12-31,6.0,1.616666666666667
2018-01-31,7.0,1.6714285714285713
2018-02-28,7.0,2.064285714285714
2018-03-31,7.0,2.2687500000000003
2018-04-30,7.0,2.5545454545454547
2018-05-31,7.0,5.646153846153846
2018-06-30,7.0,3.113333333333333
2018-07-31,7.0,2.8937500000000003
2018-08-31,7.0,3.4749999999999996
2018-09-30,7.0,2.721428571428572
2018-10-31,7.0,2.1142857142857148
2018-11-30,7.0,
2018-12-31,7.0,1.72
2018-01-31,8.0,1.83125
2018-02-28,8.0,2.2588235294117647
2018-03-31,8.0,2.452941176470588
2018-04-30,8.0,3.0500000000000007
2018-05-31,8.0,4.882352941176471
2018-06-30,8.0,3.7937499999999997
2018-07-31,8.0,2.74
2018-08-31,8.0,2.13125
2018-09-30,8.0,2.647058823529412
2018-10-31,8.0,2.35625
2018-11-30,8.0,
2018-12-31,8.0,1.447058823529412
2018-01-31,9.0,1.9285714285714286
2018-02-28,9.0,2.2103448275862076
2018-03-31,9.0,3.0939393939393924
2018-04-30,9.0,3.7413793103448283
2018-05-31,9.0,3.232142857142857
2018-06-30,9.0,3.372727272727272
2018-07-31,9.0,2.5857142857142863
2018-08-31,9.0,2.5333333333333337
2018-09-30,9.0,2.5970588235294128
2018-10-31,9.0,2.5193548387096776
2018-11-30,9.0,
2018-12-31,9.0,1.945454545454545
2018-01-31,10.0,1.8294117647058823
2018-02-28,10.0,2.1470588235294126
2018-03-31,10.0,3.242105263157894
2018-04-30,10.0,3.7666666666666675
2018-05-31,10.0,2.5250000000000004
2018-06-30,10.0,3.0900000000000003
2018-07-31,10.0,2.1999999999999997
2018-08-31,10.0,1.63125
2018-09-30,10.0,2.811111111111111
2018-10-31,10.0,3.305555555555556
2018-11-30,10.0,
2018-12-31,10.0,1.7999999999999994
2018-01-31,11.0,1.8909090909090909
2018-02-28,11.0,1.9409090909090907
2018-03-31,11.0,
2018-04-30,11.0,3.731818181818181
2018-05-31,11.0,1.4099999999999997
2018-06-30,11.0,3.3434782608695657
2018-07-31,11.0,2.1045454545454554
2018-08-31,11.0,1.4476190476190478
2018-09-30,11.0,3.652173913043478
2018-10-31,11.0,4.004545454545456
2018-11-30,11.0,3.2
2018-12-31,11.0,1.6666666666666667
2018-01-31,12.0,1.3888888888888888
2018-02-28,12.0,1.9000000000000001
2018-03-31,12.0,2.41
2018-04-30,12.0,3.275
2018-05-31,12.0,2.3875
2018-06-30,12.0,6.544444444444443
2018-07-31,12.0,2.466666666666667
2018-08-31,12.0,1.225
2018-09-30,12.0,3.7222222222222214
2018-10-31,12.0,4.188888888888888
2018-11-30,12.0,3.966666666666667
2018-12-31,12.0,1.4000000000000001
2018-01-31,13.0,1.92
2018-02-28,13.0,1.875
2018-03-31,13.0,2.45
2018-04-30,13.0,3.033333333333333
2018-05-31,13.0,2.877777777777778
2018-06-30,13.0,6.130000000000001
2018-07-31,13.0,3.97
2018-08-31,13.0,2.725
2018-09-30,13.0,3.3299999999999996
2018-10-31,13.0,5.11
2018-11-30,13.0,3.839999999999999
2018-12-31,13.0,2.650000000000001
2018-01-31,14.0,1.88
2018-02-28,14.0,1.986666666666667
2018-03-31,14.0,2.8000000000000003
2018-04-30,14.0,2.96
2018-05-31,14.0,3.9999999999999996
2018-06-30,14.0,6.1625000000000005
2018-07-31,14.0,3.926666666666667
2018-08-31,14.0,3.5785714285714287
2018-09-30,14.0,3.2250000000000005
2018-10-31,14.0,4.2
2018-11-30,14.0,3.3933333333333326
2018-12-31,14.0,2.6000000000000005
2018-01-31,15.0,1.7250000000000005
2018-02-28,15.0,2.3333333333333326
2018-03-31,15.0,3.570833333333334
2018-04-30,15.0,2.7913043478260873
2018-05-31,15.0,3.5478260869565217
2018-06-30,15.0,5.862499999999998
2018-07-31,15.0,4.486363636363635
2018-08-31,15.0,3.069565217391304
2018-09-30,15.0,7.091666666666666
2018-10-31,15.0,5.01304347826087
2018-11-30,15.0,3.2565217391304344
2018-12-31,15.0,2.706666666666666
2018-01-31,16.0,1.792857142857143
2018-02-28,16.0,2.4230769230769234
2018-03-31,16.0,3.7
2018-04-30,16.0,2.391666666666666
2018-05-31,16.0,2.9545454545454546
2018-06-30,16.0,6.261538461538461
2018-07-31,16.0,3.8166666666666664
2018-08-31,16.0,5.50909090909091
2018-09-30,16.0,7.085714285714288
2018-10-31,16.0,5.3999999999999995
2018-11-30,16.0,3.4000000000000004
2018-12-31,16.0,2.3500000000000005
2018-01-31,17.0,2.3461538461538463
2018-02-28,17.0,3.784615384615385
2018-03-31,17.0,3.814285714285714
2018-04-30,17.0,2.433333333333333
2018-05-31,17.0,3.35
2018-06-30,17.0,6.515384615384615
2018-07-31,17.0,3.761538461538462
2018-08-31,17.0,6.0
2018-09-30,17.0,7.084615384615385
2018-10-31,17.0,4.223076923076924
2018-11-30,17.0,3.776923076923077
2018-12-31,17.0,2.3214285714285716
2018-01-31,18.0,2.217142857142857
2018-02-28,18.0,4.448235294117644
2018-03-31,18.0,3.9788135593220324
2018-04-30,18.0,5.397674418604652
2018-05-31,18.0,8.234210526315787
2018-06-30,18.0,6.79529411764706
2018-07-31,18.0,4.084146341463414
2018-08-31,18.0,5.846835443037972
2018-09-30,18.0,6.9571428571428555
2018-10-31,18.0,3.7717647058823527
2018-11-30,18.0,4.673170731707317
2018-12-31,18.0,2.42098765432099
2018-01-31,20.0,2.014814814814814
2018-02-28,20.0,3.7905660377358497
2018-03-31,20.0,4.134177215189875
2018-04-30,20.0,5.426415094339623
2018-05-31,20.0,6.565306122448983
2018-06-30,20.0,6.658823529411765
2018-07-31,20.0,4.380392156862745
2018-08-31,20.0,4.625999999999998
2018-09-30,20.0,6.740000000000001
2018-10-31,20.0,3.8137254901960778
2018-11-30,20.0,3.624000000000001
2018-12-31,20.0,2.4037037037037035
2018-01-31,21.0,2.284210526315789
2018-02-28,21.0,3.8416666666666655
2018-03-31,21.0,3.5399999999999996
2018-04-30,21.0,5.734285714285714
2018-05-31,21.0,6.135294117647059
2018-06-30,21.0,7.262857142857144
2018-07-31,21.0,4.567647058823529
2018-08-31,21.0,4.590909090909092
2018-09-30,21.0,6.944444444444444
2018-10-31,21.0,4.53888888888889
2018-11-30,21.0,3.711111111111111
2018-12-31,21.0,2.538888888888889
2018-01-31,22.0,1.9249999999999996
2018-02-28,22.0,3.5694444444444446
2018-03-31,22.0,3.7192982456140324
2018-04-30,22.0,6.054054054054054
2018-05-31,22.0,6.161111111111111
2018-06-30,22.0,5.8675675675675665
2018-07-31,22.0,4.081081081081081
2018-08-31,22.0,3.9000000000000004
2018-09-30,22.0,7.305263157894736
2018-10-31,22.0,3.647368421052633
2018-11-30,22.0,3.3947368421052637
2018-12-31,22.0,2.407692307692307
2018-01-31,23.0,1.8066666666666669
2018-02-28,23.0,3.190000000000001
2018-03-31,23.0,3.5133333333333328
2018-04-30,23.0,8.113793103448277
2018-05-31,23.0,6.174074074074075
2018-06-30,23.0,6.462068965517242
2018-07-31,23.0,3.637931034482759
2018-08-31,23.0,3.771428571428573
2018-09-30,23.0,4.293333333333334
2018-10-31,23.0,4.1899999999999995
2018-11-30,23.0,3.3399999999999994
2018-12-31,23.0,2.5937500000000013
2018-01-31,24.0,1.7909090909090908
2018-02-28,24.0,2.915
2018-03-31,24.0,3.3625
2018-04-30,24.0,7.042105263157894
2018-05-31,24.0,4.457894736842104
2018-06-30,24.0,4.9947368421052625
2018-07-31,24.0,3.8263157894736843
2018-08-31,24.0,3.8333333333333326
2018-09-30,24.0,3.89090909090909
2018-10-31,24.0,3.2600000000000002
2018-11-30,24.0,3.12
2018-12-31,24.0,2.657142857142858
2018-01-31,25.0,1.9222222222222223
2018-02-28,25.0,3.0
2018-03-31,25.0,3.4041666666666663
2018-04-30,25.0,8.321428571428571
2018-05-31,25.0,4.893333333333333
2018-06-30,25.0,5.186666666666666
2018-07-31,25.0,3.4266666666666654
2018-08-31,25.0,4.242857142857142
2018-09-30,25.0,4.175000000000001
2018-10-31,25.0,2.7687500000000003
2018-11-30,25.0,2.3125
2018-12-31,25.0,2.9764705882352933
2018-01-31,26.0,2.0090909090909084
2018-02-28,26.0,3.0250000000000004
2018-03-31,26.0,3.5843750000000005
2018-04-30,26.0,12.215789473684211
2018-05-31,26.0,4.6
2018-06-30,26.0,5.42
2018-07-31,26.0,3.3263157894736834
2018-08-31,26.0,4.327777777777778
2018-09-30,26.0,4.290909090909092
2018-10-31,26.0,2.571428571428572
2018-11-30,26.0,2.12
2018-12-31,26.0,3.157142857142857
2018-01-31,27.0,2.1666666666666674
2018-02-28,27.0,3.026086956521739
2018-03-31,27.0,3.657142857142857
2018-04-30,27.0,11.44090909090909
2018-05-31,27.0,4.852380952380953
2018-06-30,27.0,5.475
2018-07-31,27.0,3.647368421052632
2018-08-31,27.0,4.554999999999999
2018-09-30,27.0,4.363636363636363
2018-10-31,27.0,2.5227272727272716
2018-11-30,27.0,2.025
2018-12-31,27.0,3.2608695652173925
2018-01-31,28.0,2.342857142857143
2018-02-28,28.0,3.2923076923076926
2018-03-31,28.0,3.690243902439026
2018-04-30,28.0,11.848000000000003
2018-05-31,28.0,4.5760000000000005
2018-06-30,28.0,5.508000000000001
2018-07-31,28.0,3.574999999999999
2018-08-31,28.0,3.7833333333333337
2018-09-30,28.0,4.776923076923077
2018-10-31,28.0,2.7576923076923063
2018-11-30,28.0,2.0923076923076924
2018-12-31,28.0,3.2888888888888883
2018-01-31,29.0,2.3933333333333326
2018-02-28,29.0,3.3035714285714284
2018-03-31,29.0,3.679545454545453
2018-04-30,29.0,17.2304347826087
2018-05-31,29.0,4.622222222222224
2018-06-30,29.0,5.522222222222223
2018-07-31,29.0,3.688461538461538
2018-08-31,29.0,4.010526315789474
2018-09-30,29.0,4.55
2018-10-31,29.0,3.0785714285714287
2018-11-30,29.0,2.253333333333333
2018-12-31,29.0,3.46551724137931
2018-02-28,29.5,5.5076923076923086
2018-03-31,29.5,3.3035714285714284
2018-04-30,29.5,4.557142857142858
2018-05-31,29.5,5.069230769230769
2018-06-30,29.5,5.207142857142856
2018-07-31,29.5,2.864285714285714
2018-08-31,29.5,4.292307692307691
2018-09-30,29.5,
2018-10-31,29.5,3.0153846153846158
2018-11-30,29.5,
2018-12-31,29.5,3.085714285714286
2018-01-31,30.0,2.5076923076923077
2018-02-28,30.0,3.7166666666666663
2018-03-31,30.0,3.9702702702702704
2018-04-30,30.0,19.031818181818178
2018-05-31,30.0,5.034782608695652
2018-06-30,30.0,5.923809523809526
2018-07-31,30.0,3.87
2018-08-31,30.0,4.213636363636363
2018-09-30,30.0,5.283333333333332
2018-10-31,30.0,2.98695652173913
2018-11-30,30.0,2.141666666666667
2018-12-31,30.0,3.3782608695652163
2018-01-31,31.0,2.7153846153846155
2018-02-28,31.0,3.965217391304348
2018-03-31,31.0,5.0361111111111105
2018-04-30,31.0,23.97222222222222
2018-05-31,31.0,6.604347826086957
2018-06-30,31.0,6.356521739130434
2018-07-31,31.0,4.340909090909092
2018-08-31,31.0,4.866666666666666
2018-09-30,31.0,6.133333333333334
2018-10-31,31.0,3.2130434782608686
2018-11-30,31.0,2.433333333333333
2018-12-31,31.0,3.691999999999999
2018-01-31,32.0,2.8166666666666664
2018-02-28,32.0,4.547619047619047
2018-03-31,32.0,6.022580645161291
2018-04-30,32.0,33.14
2018-05-31,32.0,7.194736842105264
2018-06-30,32.0,6.810526315789474
2018-07-31,32.0,4.638888888888889
2018-08-31,32.0,4.205
2018-09-30,32.0,5.5600000000000005
2018-10-31,32.0,3.4666666666666672
2018-11-30,32.0,2.5
2018-12-31,32.0,4.2666666666666675
2018-01-31,33.0,3.207692307692308
2018-02-28,33.0,4.791666666666667
2018-03-31,33.0,7.8189189189189205
2018-04-30,33.0,34.420833333333334
2018-05-31,33.0,7.484615384615386
2018-06-30,33.0,7.4391304347826095
2018-07-31,33.0,4.8954545454545455
2018-08-31,33.0,4.045454545454546
2018-09-30,33.0,5.761538461538462
2018-10-31,33.0,3.4076923076923076
2018-11-30,33.0,2.438461538461538
2018-12-31,33.0,3.476923076923078
2018-01-31,34.0,3.8625
2018-02-28,34.0,4.9
2018-03-31,34.0,7.961538461538462
2018-04-30,34.0,45.036842105263155
2018-05-31,34.0,7.88
2018-06-30,34.0,8.613333333333335
2018-07-31,34.0,6.213333333333334
2018-08-31,34.0,3.5470588235294125
2018-09-30,34.0,3.7625
2018-10-31,34.0,3.5437499999999997
2018-11-30,34.0,2.522222222222222
2018-12-31,34.0,3.5187500000000003
2018-01-31,35.0,3.3285714285714283
2018-02-28,35.0,5.278571428571429
2018-03-31,35.0,10.452173913043477
2018-04-30,35.0,25.933333333333334
2018-05-31,35.0,8.306666666666667
2018-06-30,35.0,5.642857142857143
2018-07-31,35.0,3.0
2018-08-31,35.0,4.030769230769231
2018-09-30,35.0,4.016666666666667
2018-10-31,35.0,3.4928571428571416
2018-11-30,35.0,2.4625
2018-12-31,35.0,3.6615384615384623
2018-01-31,36.0,4.283333333333334
2018-02-28,36.0,5.781818181818182
2018-03-31,36.0,12.799999999999997
2018-04-30,36.0,29.066666666666666
2018-05-31,36.0,7.95
2018-06-30,36.0,5.74
2018-07-31,36.0,3.04
2018-08-31,36.0,3.65
2018-09-30,36.0,4.8
2018-10-31,36.0,3.7833333333333337
2018-11-30,36.0,2.533333333333333
2018-12-31,36.0,3.7299999999999995
2018-01-31,649.0,1.708333333333333
2018-02-28,649.0,2.572727272727273
2018-03-31,649.0,5.125000000000001
2018-04-30,649.0,2.0454545454545454
2018-05-31,649.0,4.754545454545455
2018-06-30,649.0,3.5
2018-07-31,649.0,3.4636363636363643
2018-08-31,649.0,4.136363636363637
2018-09-30,649.0,2.0454545454545454
2018-10-31,649.0,2.1363636363636362
2018-11-30,649.0,
2018-12-31,649.0,1.05
2018-01-31,657.0,3.0545454545454547
2018-02-28,657.0,2.188888888888889
2018-03-31,657.0,1.4000000000000001
2018-04-30,657.0,2.2800000000000002
2018-05-31,657.0,2.011111111111111
2018-06-30,657.0,1.5111111111111113
2018-07-31,657.0,2.4555555555555557
2018-08-31,657.0,1.8333333333333333
2018-09-30,657.0,1.4777777777777776
2018-10-31,657.0,1.5800000000000003
2018-11-30,657.0,
2018-12-31,657.0,0.8600000000000001
